namahotel,deskripsi
Omah Njonja Bed and Brasserie,property located near gadjah mada university along restaurant bed breakfast outdoor pool coffee shopcaf free wifi public area free self parking provided additionally concierge service dry cleaning laundry facility onsite 15 room offer free wifi room service flat screen tv cable channel guest find electric kettle free bottled water fan advantage recreation opportunity outdoor pool view terrace garden additional feature bed breakfast include complimentary wireless internet access concierge service barbecue grill featured amenity include dry cleaninglaundry service 24 hour front desk luggage storage free self parking available onsite special check instruction property offer hour check guest arriving late able check next morning home one 15 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment private bathroom shower feature complimentary toiletry slipper convenience include electric kettle complimentary bottled water housekeeping provided daily lunch dinner stop kedai bapak apien restaurant specializes local cuisine grab snack coffee shopcaf breakfast available fee nearby attraction hartono mall 1 6 km 1 mi yogya kembali monument 2 2 km 1 4 mi gadjah mada university 3 3 km 2 1 mi yogyakarta state university 3 5 km 2 2 mi jogja city mall 3 6 km 2 2 mi siloam hospital yogyakarta 4 2 km 2 6 mi lippo plaza jogja 4 4 km 2 7 mi sunan kalijaga state islamic university yogyakarta 4 5 km 2 8 mi affandi museum 4 5 km 2 8 mi galeria mall 4 5 km 2 8 mi malioboro street 4 5 km 2 8 mi jogja bay 4 6 km 2 9 mi plaza ambarrukmo 4 7 km 2 9 mi yogyakarta monument 4 7 km 2 9 mi maguwoharjo stadium 4 8 km 3 mi nearest airport yogyakarta jog adisucipto intl 8 3 km 5 1 mi surakarta soc adisumarmo intl 60 3 km 37 5 mi
Omah Pakem,property located near islamic university indonesia outdoor pool meeting room tourticket assistance available resort free wifi public area free self parking provided additionally multilingual staff garden barbecue grill onsite 4 room provide free wifi balcony patio coffee r amenity available guest include free bottled water shower free toiletry advantage recreation opportunity outdoor pool view terrace garden additional feature resort include complimentary wireless internet access tourticket assistance barbecue grill featured amenity include multilingual staff luggage storage roundtrip airport shuttle provided surcharge available 24 hour free self parking available onsite front desk open daily 8 am 9 pm 24 hour airport shuttle service available request fee apply contact property advance get detail home one 4 guestroom room private balcony patio prepare meal sharedcommunal kitchen complimentary wireless internet access available keep connected private bathroom shower feature complimentary toiletry slipper breakfast available fee nearby attraction islamic university indonesia 3 1 km 2 mi merapi golf course 8 1 km 5 mi ullen sentalu museum 9 1 km 5 7 mi jogja bay 11 km 6 8 mi bubrah temple 11 5 km 7 1 mi merapi museum 11 5 km 7 2 mi maguwoharjo stadium 11 8 km 7 4 mi sleman city hall 12 7 km 7 9 mi hartono mall 13 7 km 8 5 mi gadjah mada university 13 7 km 8 5 mi yogyakarta state university 14 2 km 8 8 mi yogya kembali monument 14 3 km 8 9 mi sambisari temple 14 4 km 8 9 mi jogja city mall 15 1 km 9 4 mi malioboro street 15 7 km 9 8 mi nearest airport yogyakarta jog adisucipto intl 16 6 km 10 3 mi surakarta soc adisumarmo intl 62 4 km 38 8 mi
Omah Pari Boutique Hotel,omah pari boutique hotel classical building nuance give comfort stay easy access middle yogyakarta advantage quiet location undisturbed noise comfortable clean room standard 3 star hotel air conditioned room wardrobe writing desk room private bathroom cold shower breakfast served hotel dining area indonesian menu available room service staff arrange car motorbike rental traditional massage traditional becak transportation
Omah Qu,welcome omah qu well decorated accommodation practical stylish furniture building furniture beautiful omah qu operates 24 hour front desk offer laundry ironing free site parking 3 type room standard superior deluxe room cosy furnished bedroom air conditioned fitted flat screen cable tv wardrobe select room fridge minibar en suite bathroom hot shower facility room service available property guest breakfast lobby restaurant room request hotel close restaurant short walk away including house raminten roaster bear canting restaurant yogyakarta palace known popular attraction within walking distance guesthouse interested visiting popular landmark yogyakarta region omah qu offer car rental service
Omah Sabah Bed and Breakfast,property located near gembira loka zoo along multilingual staff smoke free guesthouse garden free breakfast free wifi public area free self parking provided 4 room offer free wifi room service free bottled water enjoy recreation amenity bicycle rent view garden featured amenity include complimentary wired internet access multilingual staff luggage storage free self parking available onsite front desk open daily 6 am 10 pm arrangement check contact property least 24 hour arrival using information booking confirmation home one 4 guestroom prepare meal sharedcommunal kitchen complimentary wireless internet access available keep connected convenience include desk complimentary bottled water housekeeping provided daily advantage guesthouse room service limited hour complimentary breakfast included nearby attraction jogja expo center 0 8 km 0 5 mi gembira loka zoo 1 7 km 1 mi plaza ambarrukmo 1 9 km 1 2 mi affandi museum 2 3 km 1 4 mi sunan kalijaga state islamic university yogyakarta 2 5 km 1 5 mi museum dirgantara 2 5 km 1 5 mi sasana among rogo 2 6 km 1 6 mi lippo plaza jogja 2 9 km 1 8 mi museum kekayon 2 9 km 1 8 mi faculty industrial technology 3 km 1 8 mi siloam hospital yogyakarta 3 1 km 1 9 mi transmart studio mini 3 2 km 2 mi kota gede 3 2 km 2 mi batik museum 3 5 km 2 2 mi legi kotagede market 3 8 km 2 4 mi nearest airport yogyakarta jog adisucipto intl 5 4 km 3 4 mi surakarta soc adisumarmo intl 57 5 km 35 7 mi
Omah Sambilegi,property located near adisucipto golf course outdoor pool 24 hour front desk garden available vacation home free wifi public area free self parking provided vacation home feature free wifi living room kitchenette stovetop dining area lcd tv shower among amenity available guest advantage recreation opportunity outdoor pool view terrace garden free self parking available onsite front desk property property offer hour check guest arriving late able check next morning arrangement check contact property ahead time using information booking confirmation comfortable air conditioned vacation home kitchenette complimentary wireless internet access keep connected lcd television provided entertainment nearby attraction transmart studio mini 2 km 1 3 mi museum dirgantara 2 8 km 1 7 mi sambisari temple 3 1 km 1 9 mi adisucipto golf course 3 4 km 2 1 mi plaza ambarrukmo 4 1 km 2 6 mi affandi museum 4 7 km 2 9 mi sunan kalijaga state islamic university yogyakarta 4 9 km 3 1 mi lippo plaza jogja 5 3 km 3 3 mi jogja expo center 5 4 km 3 4 mi siloam hospital yogyakarta 5 5 km 3 4 mi maguwoharjo stadium 5 6 km 3 5 mi kalasan temple 5 7 km 3 5 mi jogja bay 5 7 km 3 6 mi candi kalasan 5 8 km 3 6 mi candi sari 6 2 km 3 9 mi nearest airport yogyakarta jog adisucipto intl 1 4 km 0 9 mi surakarta soc adisumarmo intl 53 5 km 33 2 mi
Omah Sastro,property located near hartono mall guesthouse feature dry cleaning laundry facility 24 hour front desk free wifi public area free self parking provided additionally limotown car service arcadegame room express check onsite 10 individually furnished room feature free wifi select comfort bed bit entertainment lcd tv come satellite channel guest appreciate convenience like refrigerator coffee r pamper onsite massage facial additional amenity guesthouse include complimentary wireless internet access arcadegame room tourticket assistance guest get nearby shop shuttle surcharge featured amenity include limotown car service express check express check surcharge guest use roundtrip airport shuttle available request train station pick service airport shuttle service available request fee apply contact property advance arrangement home one 10 individually furnished guestroom featuring minibar lcd television select comfort bed come premium bedding prepare meal sharedcommunal kitchen complimentary wireless internet access keep connected satellite programming available entertainment bathroom complimentary toiletry slipper inclusive rate available guesthouse meal beverage onsite dining establishment included inclusive rate charge applied dining restaurant special dinner dish beverage amenity grab bite groceryconvenience store stay advantage guesthouse room service limited hour nearby attraction hartono mall 0 7 km 0 4 mi yogyakarta state university 2 7 km 1 7 mi lippo plaza jogja 2 8 km 1 7 mi plaza ambarrukmo 2 9 km 1 8 mi siloam hospital yogyakarta 3 km 1 8 mi sunan kalijaga state islamic university yogyakarta 3 km 1 9 mi affandi museum 3 km 1 9 mi gadjah mada university 3 3 km 2 mi galeria mall 4 km 2 5 mi yogya kembali monument 4 3 km 2 7 mi maguwoharjo stadium 4 6 km 2 8 mi transmart studio mini 4 6 km 2 8 mi kota gede 4 8 km 3 mi jogja bay 4 9 km 3 1 mi museum dirgantara 5 km 3 1 mi nearest airport yogyakarta jog adisucipto intl 8 3 km 5 1 mi surakarta soc adisumarmo intl 58 9 km 36 6 mi preferred airport omah sastro yogyakarta jog adisucipto intl
Omah Sundak Homestay,property located near pantai sadranan 4 room offer flat screen tv cable channel plus free bottled water shower front desk property arrangement check contact property ahead time using information booking confirmation stay one 4 guestroom featuring flat screen television cable television provided entertainment bathroom shower complimentary toiletry convenience include complimentary bottled water housekeeping provided daily nearby attraction pantai sadranan 0 4 km 0 2 mi indrayanti beach 0 9 km 0 5 mi pantai baron 9 5 km 5 9 mi jomblang cave 20 9 km 13 mi goa pindul 35 5 km 22 mi sri gethuk waterfall 37 5 km 23 3 mi parangtritis beach 45 4 km 28 2 mi bukit bintang 48 2 km 30 mi parangkusumo sand dune 51 5 km 32 mi nearest major airport yogyakarta jog adisucipto intl 63 4 km 39 4 mi
Omah Timoho Homestay,property located near malioboro street tv common area free self parking free wifi public area available villa villa feature free wifi living room plus kitchenette refrigerator stovetop additional amenity include dining area shower free toiletry housekeeping available request use convenient amenity include complimentary wireless internet access television common area roundtrip airport shuttle provided surcharge available 24 hour free self parking available onsite front desk property planning arrive 10 00 pm contact property advance using information booking confirmation 24 hour airport shuttle service available request fee apply contact property advance arrangement comfortable air conditioned villa featuring kitchenette refrigerator stovetop complimentary wireless internet access available keep connected nearby attraction sasana among rogo 1 3 km 0 8 mi sunan kalijaga state islamic university yogyakarta 1 4 km 0 9 mi affandi museum 1 6 km 1 mi lippo plaza jogja 1 7 km 1 mi siloam hospital yogyakarta 1 7 km 1 1 mi kota gede 2 km 1 2 mi plaza ambarrukmo 2 2 km 1 3 mi batik museum 2 2 km 1 3 mi gembira loka zoo 2 2 km 1 4 mi faculty industrial technology 2 2 km 1 4 mi jogja expo center 2 3 km 1 4 mi galeria mall 2 4 km 1 5 mi pakualaman palace 2 7 km 1 7 mi museum sasmitaloka panglima besar jenderal sudirman 2 9 km 1 8 mi yogyakarta state university 3 km 1 9 mi preferred airport villa yogyakarta jog adisucipto intl 6 4 km 4 mi
OmaHeritage - Hostel,property located yogyakarta central yogyakarta along refrigerator common area smoke free hostel 24 hour front desk free self parking wifi public area free room shared offer free wifi free bottled water featured amenity include 24 hour front desk refrigerator common area free self parking available onsite home one 6 air conditioned guestroom prepare meal sharedcommunal kitchen complimentary wireless internet access available keep connected bathroom shower provided nearby attraction pakualaman palace 0 2 km 0 1 mi museum sasmitaloka panglima besar jenderal sudirman 0 4 km 0 3 mi batik museum 0 7 km 0 4 mi kota gede 1 2 km 0 7 mi taman pintar science park 1 3 km 0 8 mi sasana among rogo 1 3 km 0 8 mi senopati 1 5 km 1 mi malioboro street 1 6 km 1 mi pasar beringharjo 1 6 km 1 mi f ort vredeburg museum 1 6 km 1 mi gedung agung 1 6 km 1 mi sonobudoyo museum 1 8 km 1 1 mi yogyakarta presidential palace 1 8 km 1 1 mi bringharjo market 1 8 km 1 1 mi palace yogyakarta 1 9 km 1 2 mi nearest major airport yogyakarta jog adisucipto intl 8 9 km 5 5 mi
Omkara Mountain Retreat,located sensational area northern slope yogyakarta omkara resort yogyakarta 10 minute hotel hyatt marlioboro street myriad restaurant set 6000 meter pristine village land offer rare fusion private luxury 2 bedroom villa 2 bedroom pavilion amid sensuous architecture stunning natural environment private pool oversize deck overlooking river bedroom private vacation home particularly spacious ensuite bathroom wide covered terrace plentiful chest drawer space generous indoor outdoor seating area polished reclaimed carrera marble flooring designer furniture fascinating artifact thoughtful lighting create delightfully individual interior plush american pillow bed dressed 100 cotton bed linen ensure good night sleep room cool night due altitude prefer opt turn ceiling fan upper bedroom face north expansive view garden rice field swimming pool mountain backdrop room chest drawer antique writing table 32 flat screen tv dvd player lower bedroom face babbling river view riverside tree farmland beyond room chest drawer large old teak writing desk 32 flat screen tv two additional bedroom face east expansive view garden swimming pool river backdrop room chest drawer writing table 32 flat screen tv dvd player six deluxe room face babbling river view riverside tree farmland beyond room chest drawer large old teak writing desk 32 flat screen tv house chef prepare wide range local western specialty well special diet menu upon request alternatively number traditional javanese restaurant within 5 minute drive property guest go fishing cycling trip relax traditional javanese massage villa hotel feature private pool backdrop rice field mountain offering valet parking car rental service non smoking property provides free wifi area
Oriana Homestay,property located near palace yogyakarta guesthouse feature 24 hour front desk free self parking 5 room offer free wifi tv free bottled water fan shower desk among amenity guest find bathroom shared view terrace featured amenity include 24 hour front desk water dispenser free self parking available onsite home one 5 guestroom complimentary wireless internet access available keep connected bathroom shower complimentary toiletry convenience include desk complimentary bottled water nearby attraction masjid jogokariyan 1 2 km 0 7 mi batik plentong 1 5 km 1 mi water castle tamansari 1 7 km 1 1 mi lana gallery 1 8 km 1 1 mi alun alun kidul 1 8 km 1 1 mi kampoeng cyber 1 8 km 1 1 mi sasono hinggi l1 8 km 1 1 mi gumuling well 1 9 km 1 2 mi kraton complex 2 6 km 1 6 mi museum kereta kraton 2 7 km 1 7 mi palace yogyakarta 2 8 km 1 7 mi sonobudoyo museum 3 km 1 8 mi malioboro street 3 km 1 9 mi yogyakarta presidential palace 3 3 km 2 mi fort vredeburg museum 3 3 km 2 mi nearest major airport yogyakarta jog adisucipto intl 16 5 km 10 3 mi
Orlen Yogyakarta,orlen hotel every effort made guest feel comfortable hotel provides best service amenity non smoking room orlen come modern interior bright lighting equipped ac safe deposit box tv refrigerator teacoffee r shower facility toiletry en suite bathroom available breakfast cosy restaurant serf fine selection local dish beverage room service available upon request hotel offer wonderful recreational facility garden stay truly unforgettable 24 hour front desk hotel provides airport shuttle car rental service laundry dry cleaning service provided
Ostic House,property located near malioboro street bed breakfast feature microwave common area refrigerator common area dry cleaning free wifi public area free self parking provided additionally laundry facility 24 hour front desk library onsite 6 room offer free wifi lcd tv cable channel shower desk free toiletry available guest view terrace garden use amenity complimentary wireless internet access guest catch ride nearby destination area shuttle surcharge featured amenity include dry cleaninglaundry service 24 hour front desk luggage storage roundtrip airport shuttle provided surcharge available request free self parking available onsite airport shuttle service available request 6 am 11 pm fee apply contact property advance arrangement home one 6 air conditioned room featuring lcd television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include desk housekeeping provided daily ironsironing board requested local cuisine breakfast available daily 7 00 am 10 00 am fee nearby attraction batik plentong 0 6 km 0 4 mi masjid jogokariyan 1 km 0 7 mi water castle tamansari 1 3 km 0 8 mi kampoeng cyber 1 4 km 0 9 mi lana gallery 1 4 km 0 9 mi gumuling well 1 5 km 1 mi alun alun kidul 1 8 km 1 1 mi sasono hinggil 1 9 km 1 2 mi kraton complex 2 2 km 1 4 mi museum kereta kraton 2 3 km 1 4 mi palace yogyakarta 2 4 km 1 5 mi sonobudoyo museum 2 6 km 1 6 mi malioboro street 2 6 km 1 6 mi fort vredeburg museum 2 7 km 1 7 mi gedung agung 2 7 km 1 7 mi preferred airport ostic house yogyakarta jog adisucipto intl 12 6 km 7 8 mi
Otu Hostel By Ostic,property located near malioboro street outdoor pool dry cleaning laundry facility available smoke free hostel free wifi public area free self parking provided additionally 24 hour front desk tourticket assistance onsite 6 room offer free wifi shower free toiletry enjoy recreation amenity outdoor pool view terrace additional amenity hostel include complimentary wireless internet access tourticket assistance featured amenity include dry cleaninglaundry service 24 hour front desk laundry facility guest use roundtrip airport shuttle surcharge free self parking available onsite home one 6 air conditioned guestroom complimentary wireless internet access available keep connected bathroom shower complimentary toiletry local cuisine breakfast available daily 7 00 am 10 00 am fee nearby attraction batik plentong 0 5 km 0 3 mi lana gallery 0 8 km 0 5 mi masjid jogokariyan 1 3 km 0 8 mi alun alun kidul 2 1 km 1 3 mi water castle tamansari 2 2 km 1 4 mi sasono hinggil 2 2 km 1 4 mi gumuling well 2 2 km 1 4 mi kampoeng cyber 2 3 km 1 4 mi taman pintar science park 2 3 km 1 4 mi de mata trick eye 3d museum 2 3 km 1 5 mi malioboro street 2 4 km 1 5 mi sonobudoyo museum 2 5 km 1 5 mi senopati 2 6 km 1 6 mi palace yogyakarta 2 6 km 1 6 mi fort vredeburg museum 2 7 km 1 7 mi nearest major airport yogyakarta jog adisucipto intl 11 5 km 7 1 mi
OYO 114 Plemburan Residence,property located near jogja city mall 24 hour room service 24 hour front desk express check available smoke free hostel self parking free amenity include express check 10 room provide free wifi 24 hour room service led tv free bottled water shower desk among amenity guest find featured amenity include express check express check 24 hour front desk free self parking available onsite planning arrive midnight contact property advance using information booking confirmation home one 10 air conditioned room featuring led television complimentary wireless internet access available keep connected bathroom shower provided convenience include desk complimentary bottled water housekeeping provided daily advantage hostel 24 hour room service nearby attraction yogya kembali monument 1 km 0 6 mi jogja city mall 2 4 km 1 5 mi hartono mall 3 km 1 9 mi gadjah mada university 3 3 km 2 1 mi yogyakarta state university 3 7 km 2 3 mi yogyakarta monument 4 4 km 2 7 mi galeria mall 4 5 km 2 8 mi malioboro street 4 7 km 2 9 mi siloam hospital yogyakarta 4 8 km 3 mi lippo plaza jogja 5 8 km 3 6 mi kota gede 6 1 km 3 8 mi sunan kalijaga state islamic university yogyakarta 6 3 km 3 9 mi jogja bay 6 4 km 4 mi batik museum 6 4 km 4 mi affandi museum 6 6 km 4 1 mi nearest airport yogyakarta jog adisucipto intl 9 8 km 6 1 mi surakarta soc adisumarmo intl 61 9 km 38 5 mi
OYO 194 Hotel Sapta Gria,property located near malioboro street smoke free hotel feature outdoor pool 28 room offer free wifi flat screen tv free bottled water amenity available guest include shower desk free toiletry front desk property property offer hour check guest arriving late able check next morning arrangement check contact property ahead time using information booking confirmation home one 28 air conditioned room featuring flat screen television complimentary wireless internet access available keep connected bathroom shower complimentary toiletry convenience include desk complimentary bottled water nearby attraction malioboro street 0 6 km 0 4 mi yogyakarta monument 0 7 km 0 4 mi galeria mall 0 8 km 0 5 mi gadjah mada university 1 4 km 0 9 mi kota gede 1 8 km 1 1 mi siloam hospital yogyakarta 1 8 km 1 1 mi malioboro mall 1 9 km 1 2 mi yogyakarta state university 2 km 1 3 mi lippo plaza jogja 2 1 km 1 3 mi batik museum 2 1 km 1 3 mi bringharjo market 2 5 km 1 6 mi sunan kalijaga state islamic university yogyakarta 2 7 km 1 6 mi affandi museum 2 7 km 1 6 mi pasar beringharjo 2 7 km 1 7 mi yogyakarta presidential palace 2 7 km 1 7 mi nearest major airport yogyakarta jog adisucipto intl 8 4 km 5 2 mi
OYO 195 Stay at H Guesthouse,property located near jogja city mall smoke free hostel feature 24 hour front desk 10 room offer free wifi flat screen tv shower property offer hour check guest arriving late able check next morning home one 10 air conditioned room featuring flat screen television complimentary wireless internet access available keep connected bathroom shower provided nearby attraction yogya kembali monument 1 km 0 6 mi jogja city mall 2 4 km 1 5 mi hartono mall 3 km 1 9 mi gadjah mada university 3 3 km 2 mi yogyakarta state university 3 7 km 2 3 mi yogyakarta monument 4 4 km 2 7 mi galeria mall 4 4 km 2 8 mi malioboro street 4 7 km 2 9 mi siloam hospital yogyakarta 4 8 km 3 mi lippo plaza jogja 5 7 km 3 6 mi kota gede 6 1 km 3 8 mi sunan kalijaga state islamic university yogyakarta 6 3 km 3 9 mi jogja bay 6 4 km 4 mi batik museum 6 4 km 4 mi affandi museum 6 6 km 4 1 mi nearest airport yogyakarta jog adisucipto intl 9 8 km 6 1 mi surakarta soc adisumarmo intl 61 9 km 38 4 mi
OYO 198 Emdi House Seturan,property located near plaza ambarrukmo hostel feature concierge service 24 hour front desk free self parking 15 room offer free wifi flat screen tv free bottled water guest find shower desk hostel offer designated smoking area featured amenity include 24 hour front desk luggage storage free self parking available onsite home one 15 air conditioned room featuring flat screen television complimentary wireless internet access available keep connected bathroom shower provided convenience include desk complimentary bottled water housekeeping provided daily nearby attraction plaza ambarrukmo 1 9 km 1 2 mi hartono mall 2 2 km 1 4 mi affandi museum 2 3 km 1 4 mi sunan kalijaga state islamic university yogyakarta 2 5 km 1 6 mi transmart studio mini 2 7 km 1 7 mi lippo plaza jogja 2 9 km 1 8 mi museum dirgantara 3 2 km 2 mi siloam hospital yogyakarta 3 3 km 2 mi yogyakarta state university 3 4 km 2 1 mi gadjah mada university 4 km 2 5 mi jogja expo center 4 km 2 5 mi maguwoharjo stadium 4 2 km 2 6 mi galeria mall 4 2 km 2 6 mi jogja bay 4 5 km 2 8 mi gembira loka zoo 4 8 km 3 mi nearest airport yogyakarta jog adisucipto intl 5 2 km 3 2 mi surakarta soc adisumarmo intl 57 2 km 35 6 mi
OYO 206 Hotel Candra Kirana,property located near palace yogyakarta 24 hour front desk free newspaper tv common area available smoke free hostel free wifi public area free self parking provided 24 room offer free wifi flat screen tv cable channel free bottled water amenity available guest include shower desk free toiletry view terrace use amenity complimentary wireless internet access television common area featured amenity include complimentary newspaper lobby 24 hour front desk free self parking available onsite home one 24 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily nearby attraction lana gallery 0 4 km 0 2 mi batik plentong 0 5 km 0 3 mi masjid jogokariyan 0 7 km 0 4 mi alun alun kidul 2 3 km 1 4 mi water castle tamansari 2 4 km 1 5 mi sasono hinggil 2 4 km 1 5 mi gumuling well 2 5 km 1 5 mi taman pintar science park 2 5 km 1 5 mi kampoeng cyber 2 5 km 1 6 mi malioboro street 2 6 km 1 6 mi sonobudoyo museum 2 7 km 1 7 mi senopati 2 8 km 1 7 mi palace yogyakarta 2 8 km 1 7 mi fort vredeburg museum 2 9 km 1 8 mi gedung agung 2 9 km 1 8 mi nearest major airport yogyakarta jog adisucipto intl 12 2 km 7 6 mi
OYO 212 Royal Homy Syariah,property located near transmart studio mini hostel feature 24 hour front desk free self parking free wifi public area 14 room offer free wifi flat screen tv cable channel free bottled water hostel offer designated smoking area featured amenity include 24 hour front desk luggage storage free self parking available onsite home one 14 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower provided convenience include complimentary bottled water housekeeping provided per stay nearby attraction transmart studio mini 1 4 km 0 9 mi plaza ambarrukmo 1 5 km 0 9 mi museum dirgantara 2 km 1 2 mi affandi museum 2 1 km 1 3 mi sunan kalijaga state islamic university yogyakarta 2 3 km 1 4 mi lippo plaza jogja 2 7 km 1 6 mi siloam hospital yogyakarta 2 9 km 1 8 mi jogja expo cente r3 1 km 1 9 mi yogyakarta state university 3 4 km 2 1 mi hartono mall 3 6 km 2 3 mi gembira loka zoo 4 1 km 2 5 mi galeria mall 4 2 km 2 6 mi gadjah mada university 4 6 km 2 9 mi museum kekayon 4 7 km 2 9 mi sasana among rogo 4 8 km 3 mi nearest airport yogyakarta jog adisucipto intl 3 9 km 2 4 mi surakarta soc adisumarmo intl 55 9 km 34 8 mi
OYO 241 Ndalem Nuriyat,property located ngaglik mlati hotel feature outdoor pool 24 hour front desk express check self parking free amenity include express check 20 room offer free wifi rainfall showerhead flat screen tv cable channel amenity available guest include coffee r free bottled water shower pamper onsite massage enjoy recreation amenity outdoor pool featured amenity include express check express check 24 hour front desk free self parking available onsite home one 20 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom feature shower rainfall showerhead convenience include phone well desk coffeetea r nearby attraction yogya kembali monument 2 9 km 1 8 mi sleman city hall 3 3 km 2 1 mi jogja city mall 4 km 2 5 mi yogyakarta monument 6 3 km 3 9 mi gadjah mada university 6 4 km 4 mi malioboro street 6 5 km 4 mi hartono mall 6 9 km 4 3 mi yogyakarta state university 7 2 km 4 5 mi maguwoharjo stadium 7 6 km 4 7 mi jogja bay 7 8 km 4 9 mimalioboro mall 8 1 km 5 mi galeria mall 8 6 km 5 3 mi bringharjo market 8 7 km 5 4 mi kota gede 8 8 km 5 5 mi pasar beringharjo 8 9 km 5 5 mi nearest airport yogyakarta jog adisucipto intl 13 2 km 8 2 mi surakarta soc adisumarmo intl 65 2 km 40 5 mi
OYO 244 Griya Cemara Homestay,property located near adisucipto golf course smoke free hostel feature 24 hour front desk express check express check free wifi public area free self parking provided amenity include garden 9 room offer free wifi egyptian cotton sheet flat screen tv cable channel free bottled water shower available guest view terrace garden use amenity complimentary wireless internet access featured amenity include express check express check 24 hour front desk free self parking available onsite home one 9 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower provided convenience include complimentary bottled water housekeeping provided daily nearby attraction transmart studio mini 2 4 km 1 5 mi adisucipto golf course 2 9 km 1 8 mi sambisari temple 3 km 1 9 mi museum dirgantara 3 2 km 2 mi plaza ambarrukmo 4 5 km 2 8 mi kalasan temple 5 km 3 1 mi affandi museum 5 2 km 3 2 mi candi kalasan 5 3 km 3 3 mi sunan kalijaga state islamic university yogyakarta 5 4 km 3 4 mi maguwoharjo stadium 5 6 km 3 5 mi candi sari 5 7 km 3 6 mi jogja bay 5 8 km 3 6 mi lippo plaza jogja 5 8 km 3 6 mi jogja expo center 6 km 3 7 mi siloam hospital yogyakarta 6 km 3 8 mi nearest airport yogyakarta jog adisucipto intl 0 9 km 0 6 mi surakarta soc adisumarmo intl 53 km 32 9 mi
OYO 250 De Gadri Ndalem,property located near umy hostel feature 24 hour front desk free self parking free wifi public area 30 room offer free wifi flat screen tv cable channel free bottled water shower desk available guest hostel offer designated smoking area free self parking available onsite home one 30 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower provided convenience include desk complimentary bottled water housekeeping provided daily nearby attraction umy 1 9 km 1 2 mi masjid jogokariyan 5 2 km 3 2 mi water castle tamansari 5 9 km 3 7 mi kampoeng cyber 5 9 km 3 7 mi gumuling well 6 1 km 3 8 mi batik plentong 6 3 km 3 9 mi alun alun kidul 6 4 km 4 mi sasono hinggil 6 5 km 4 mi museum kereta kraton 7 km 4 4 mi lana gallery 7 1 km 4 4 mi malioboro street 7 1 km 4 4 mi sonobudoyo museum 7 3 km 4 5 mi taman pintar science park 7 5 km 4 7 mi kraton complex 7 6 km 4 7 mi museum sasana wiratama 7 7 km 4 8 mi nearest major airport yogyakarta jog adisucipto intl 17 6 km 10 9 mi
OYO 261 Sasono Putro Guest House,property located near gadjah mada university 24 hour front desk garden free breakfast available smoke free hostel free wifi public area free self parking provided 10 room offer free wifi balcony flat screen tv cable channel amenity available guest include egyptian cotton sheet free bottled water shower view terrace garden use amenity complimentary wireless internet access guest use roundtrip airport shuttle surcharge free self parking available onsite home one 10 air conditioned room featuring flat screen television room private balcony complimentary wireless internet access keep connected cable programming available entertainment private bathroom shower feature complimentary toiletry slipper complimentary local cuisine breakfast served daily 9 00 am 10 00 am nearby attraction hartono mall 1 km 0 7 mi yogyakarta state university 3 km 1 9 mi yogya kembali monument 3 2 km 2 mi gadjah mada university 3 5 km 2 2 mi siloam hospital yogyakarta 3 7 km 2 3 mi lippo plaza jogja 3 9 km 2 4 mi sunan kalijaga state islamic university yogyakarta 3 9 km 2 4 mi affandi museum 3 9 km 2 4 mi plaza ambarrukmo 4 1 km 2 6 mi jogja bay 4 2 km 2 6 mi maguwoharjo stadium 4 3 km 2 7 mi galeria mal l4 3 km 2 7 mi jogja city mall 4 5 km 2 8 mi sasana among rogo 5 4 km 3 4 mi kota gede 5 4 km 3 4 mi nearest airport yogyakarta jog adisucipto intl 7 8 km 4 8 mi surakarta soc adisumarmo intl 59 8 km 37 2 mi
OYO 265 Nurdiono House Kentungan,property located near gadjah mada university along refrigerator common area hostel garden tv common area self parking free 10 room offer free wifi shower desk view terrace garden use amenity television common area featured amenity include refrigerator common area water dispenser free self parking available onsite front desk property arrangement check contact property ahead time using information booking confirmation home one 10 air conditioned guestroom complimentary wireless internet access available keep connected bathroom shower provided nearby attraction hartono mall 2 3 km 1 4 mi yogya kembali monument 2 4 km 1 5 mi gadjah mada university 3 2 km 2 mi yogyakarta state university 3 6 km 2 2 mi jogja city mall 3 8 km 2 3 mi galeria mall 4 3 km 2 7 mi malioboro street 4 5 km 2 8 mi yogyakarta monument 4 6 km 2 9 mi siloam hospital yogyakarta 4 7 km 2 9 mi jogja bay 4 9 km 3 1 mi lippo plaza jogja 4 9 km 3 1 mi kota gede 6 3 km 3 9 mi sunan kalijaga state islamic university yogyakarta 6 3 km 3 9 mi affandi museum 6 6 km 4 1 mi batik museum 6 6 km 4 1 mi nearest airport yogyakarta jog adisucipto intl 9 8 km 6 1 mi surakarta soc adisumarmo intl 61 9 km 38 4 mi
