namahotel,deskripsi
Alzara Hotel,property located wonosari dry cleaning laundry facility 24 hour front desk available guesthouse free wifi public area free self parking provided amenity include garden 14 room offer free wifi room service led tv satellite channel amenity available guest include free bottled water shower desk view garden use amenity complimentary wireless internet access featured amenity include dry cleaninglaundry service 24 hour front desk laundry facility free self parking available onsite home one 14 air conditioned room featuring led television complimentary wireless internet access keep connected satellite programming available entertainment bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily continental breakfast available daily 6 am 9 am fee nearby attraction goa pindul 10 2 km 6 3 mi jomblang cave 11 3 km 7 mi sri gethuk waterfall 16 7 km 10 4 mi bukit bintang 21 8 km 13 6 mi pantai baron 22 5 km 14 mi kid fun park 27 4 km 17 mii ndrayanti beach 28 9 km 17 9 mi pantai sadranan 29 7 km 18 5 mi museum kekayon 30 8 km 19 1 mi history museum antiquity plere t31 6 km 19 6 mi ratu boko palace 31 7 km 19 7 mi tebing breksi 32 3 km 20 mi adisucipto golf course 32 3 km 20 1 mi legi kotagede market 32 5 km 20 2 mi candi kalasan 32 7 km 20 3 mi nearest major airport yogyakarta jog adisucipto intl 33 3 km 20 7 mi
Amaris Diponegoro,featuring home twin marvel borobudur prambanan jogyakarta thriving cultural center java ancient tradition preserved many attraction made jogya magnet visitor world city hotel due fantastic location great base explore area guest welcomed lobby lounge 24 hour check service hotel safe boast array amenity offered guest air conditioned establishment including conference facility wireless internet access advantage room laundry service besides arriving car park vehicle parking area business guest indulged fully equipped meeting room amaris diponegoro boast comfortable clean room merging ultra stylish design array amenity like cutting edge lcd tv set fitted direct dial telephone private bathroom shower wifi internet access safe minibar individually regulated air conditioning provided room amenity include safe deposit box room guest served breakfast morning set menu lunch dinner guest soak indoor swimming pool rejuvenating body mind sunbath poolside
Amaris Hotel Malioboro,amaris hotel malioboro offering comfortable convenient accommodation accompanied modern facility excellent service hotel come number facility including meeting room parking area 110 smart clean room ultra stylish design cherish every guest stay amaris hotel yogyakarta room equipped modern facility wi fi access led tv safe deposit box shower room amaris simple straightforward breakfast available xpress restaurant snack food including beverage available 24 hour room service hotel come swimming pool
Amaris Hotel Sagan Yogyakarta,amaris hotel sagan yogyakarta offering comfortable convenient accommodation accompanied modern facility excellent service hotel come number facility including meeting room parking area 103 smart clean room ultra stylish design cherish every guest stay amaris hotel sagan yogyakarta room equipped modern facility ac wi fi access led tv safe deposit box bathroom shower toiletry amaris simple straightforward breakfast available xpress restaurant
Amata Borobudur Resort,stop amata borobudur resort discover wonder magelang hotel offer guest range service amenity designed provide comfort convenience guest room guest house equipped kettle private bathroom fitted free toiletry room amata borobudur resort boast free wifi selected room offer mountain view unit accommodation air conditioning desk continental breakfast available every morning property enhance guest stay hotel offer recreational facility outdoor pool pool kid garden free wi fi room 24 hour front desk wi fi public area car park room service facility offer speaking english indonesian reception staff happy provide guest practical advice area
Amaya Suites,property located near gadjah mada university along tourticket assistance smoke free hotel free self parking free wifi public area 23 room offer free wifi refrigerator led tv cable channel amenity available guest include room service free bottled water shower view terrace use amenity complimentary wireless internet access tourticket assistance free self parking available onsite front desk property property offer hour check guest arriving late able check next morning arrangement check contact property ahead time using information booking confirmation home one 23 air conditioned room featuring refrigerator led television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily advantage hotel room service limited hour nearby attraction gadjah mada university 1 6 km 1 mi yogya kembali monument 1 8 km 1 1 mi jogja city mall 2 5 km 1 5 mi yogyakarta state university 2 6 km 1 6 mi malioboro street 2 9 km 1 8 mi yogyakarta monument 3 km 1 9 mi hartono mall 3 1 km 1 9 mi galeria mall 3 1 km 1 9 mi siloam hospital yogyakarta 3 8 km 2 4 mi lippo plaza jogja 4 1 km 2 5 mi kota gede 4 2 km 2 6 mi malioboro mall 4 3 km 2 7 mi sunan kalijaga state islamic university yogyakarta 4 5 km 2 8 mi affandi museum 4 5 km 2 8 mi batik museum 4 6 km 2 8 mi nearest airport yogyakarta jog adisucipto intl 9 7 km 6 mi surakarta soc adisumarmo intl 61 8 km 38 4 mi
Ameera Boutique Hotel,oldest hotel since 1960s colonial period first hotel built dagen street ameera boutique hotel boast javenese design style floor offer traditional theme picture gallery well motto sendhiko dawuh mean serving guest need warmly end 2010 initiated 2011 ameera boutique hotel beautiful unique fabric colorful palace comfortable lobby corridor well bedroom bathroom feature traditional batik ambiance besides guest indulged various decoration traditional ornament greenery throughout corridor hotel furnished airport transfer meeting room laundry service well car rental ameera boutique hotel boast room category namely sido asih sido mukti sido mulyo sido dadi sido luhur room feature air condition flat screen tv hotel boast two fine dining venue tempt guest taste bud waroeng kopi caters traditional breakfast guanine javanese coffee well kopi yukk guest enjoy melody javanese bossa nova pamper spa treatment site spa center rejuvenate guest mind body well looking indonesia authentic souvenir made clay visit waroeng traditional
Andelis Homestay,1 star andelis homestay offer comfort convenience whether business holiday yogyakarta hotel offer wide range amenity perk ensure great time 15 minute drive malioboro street andelis homestay house bright room private balcony overlooking greenery guestroom fitted amenity need good night sleep fridge flat screen tv water dispenser standard across air conditioned room shower facility free bath amenity provided en suite bathroom smoking area laundry service tour free wi fi room wi fi public area guest enjoyment homestay provides shared living dining area staff assist car rental laundry request room dining option possible room service
Apartment AP7,property located near malioboro street dry cleaning free self parking available smoke free villa villa feature kitchenette refrigerator stovetop plus free wifi tv satellite channel amenity include shower free toiletry featured amenity include dry cleaninglaundry service water dispenser free self parking available onsite front desk property planning arrive midnight contact property advance using information booking confirmation comfortable air conditioned villa featuring kitchenette refrigerator stovetop complimentary wireless internet access keep connected satellite programming available entertainment nearby attraction sunan kalijaga state islamic university yogyakarta 1 3 km 0 8 mi sasana among rogo 1 4 km 0 9 mi affandi museum 1 5 km 0 9 mi lippo plaza jogja 1 6 km 1 mi siloam hospital yogyakarta 1 7 km 1 1 mi kota gede 1 9 km 1 2 mi plaza ambarrukmo 2 1 km 1 3 mi gembira loka zoo 2 2 km 1 4 mi jogja expo center 2 2 km 1 4 mi batik museum 2 3 km 1 4 mi faculty industrial technology 2 3 km 1 4 mi galeria mall 2 4 km 1 5 mi pakualaman palace 2 8 km 1 7 mi museum sasmitaloka panglima besar jenderal sudirman 3 km 1 8 mi malioboro street 3 km 1 9 mi nearest major airport yogyakarta jog adisucipto intl 6 4 km 4 mi
Arjuna 31 Homestay,property located near malioboro street hostel feature refrigerator common area tourticket assistance garden free wifi public area free self parking provided amenity include picnic area 32 room offer free wifi room service ceiling fan view terrace garden use amenity complimentary wireless internet access additional feature hostel include tourticket assistance picnic area featured amenity include luggage storage elevator refrigerator common area free self parking available onsite front desk open daily 7 am 11 pm property offer hour check guest arriving late able check next morning property provide hot water detail contact property using information reservation confirmation received booking home one 32 guestroom complimentary wireless internet access available keep connected bathroom shower provided convenience include ceiling fan housekeeping provided daily advantage hostel room service limited hour cooked order breakfast available daily 8 am 9 30 am fee nearby attraction gumuling well 1 7 km 1 mi malioboro street 2 km 1 3 mi kampoeng cyber 2 1 km 1 3 mi water castle tamansari 2 1 km 1 3 mi yogyakarta presidential palace 2 3 km 1 4 mi fort vredeburg museum 2 3 km 1 4 mi gedung agung 2 3 km 1 4 mi museum kereta kraton 2 3 km 1 4 mi sonobudoyo museum 2 4 km 1 5 mi taman pintar science park 2 4 km 1 5 mi bringharjo market 2 4 km 1 5 mi museum sasana wiratama 2 5 km 1 5 mi palace yogyakarta 2 5 km 1 6 mi pasar beringharjo 2 5 km 1 6 mi sasono hinggil 2 6 km 1 6 mi nearest major airport yogyakarta jog adisucipto intl 12 5 km 7 8 mi
